,state_id,name,ccn,zipcode,part_of_system,system_name,service_cat,total_charges,medicaid_inpatient_charge,medicaid_outpatient_charge,total_revenue,bad_debt,net_patient_revenue,charity,charity_and_bad_debt,medicaid_charges,medicaid_revenue,total_expenses,beds,medicaid_inpatient,total_inpatient,medicaid_outpatient,total_outpatient,medicaid_pct_inpatient,medicaid_pct_outpatient,year,type,uninsured_cnt,total_uninsured_cnt,dsh_cost_to_charge,total_inpatient_charge,total_outpatient_charge,total_inpatient_charge_newborn,city,system_city,acute_care,report_count,total_supplemental
0,1202,Methodist Medical Center of Oak Ridge,440034.0,37830.0,1,Covenant Health System,General Medical and Surgical,525071532.0,28697397.0,30013787.0,157854293.0,9015447.0,146136692.0,4953038.0,13968485.0,58711184.0,12443736.0,159254714.0,301.0,5313.0,46652.0,29450.0,171264.0,0.1138857926776987,0.171956745142003,2016,non_profit,7051.0,7051.0,27.2,289990626.0,234242497.0,290829034.0,Oak Ridge,Knoxville,yes,5.0,5578004.0
1,1452,Ridgeview Psychiatric Hospital and Center,444003.0,37830.0,0,,Psychiatric,16762450.0,1798798.0,8767085.0,13097538.0,704013.0,8547863.0,1185275.0,1889288.0,10565883.0,6362112.0,15174266.0,16.0,1389.0,4609.0,65571.0,90758.0,0.30136689086569757,0.7224817646929196,2016,non_profit,,,,5610478.0,11151972.0,5610478.0,Oak Ridge,,no,,2467876.0
2,2214,Tennova Healthcare- Shelbyville,440137.0,37160.0,1,Community Health Systems,General Medical and Surgical,193273951.0,5763537.0,34018333.0,39416961.0,6431287.0,36952905.0,129429.0,6560716.0,39781870.0,5062741.0,43800744.0,60.0,511.0,4850.0,10877.0,40305.0,0.10536082474226804,0.2698672621262871,2016,for_profit,3338.0,3338.0,0.15,56408578.0,136862912.0,56411039.0,Shelbyville,Franklin,yes,5.0,2271542.0
3,3225,"Camden General Hospital, Inc.",441316.0,38320.0,1,West Tennessee Healthcare,General Medical and Surgical,23520009.0,289167.0,4533422.0,7844096.0,1638312.0,6830495.0,619969.0,2258281.0,4822589.0,266519.0,7141700.0,25.0,78.0,1608.0,3251.0,12404.0,0.048507462686567165,0.2620928732666882,2016,public,441.0,1184.0,0.32,3012977.0,20507032.0,3012977.0,Camden,Jackson,yes,5.0,909005.0
4,4213,Erlanger Bledsoe Hospital,441306.0,37367.0,1,CHATTANOOGA-HAMILTON CO HOSPITAL AUTHORITY DBA EHS,Other,51308676.0,363754.0,11993305.0,15196221.0,3146064.0,13202685.0,2557237.0,5703301.0,12357059.0,2764729.0,13807748.0,25.0,128.0,2314.0,3442.0,14273.0,0.055315471045808126,0.24115462761858053,2016,public,0.0,0.0,0.0,4951360.0,46357316.0,4951360.0,Pikeville,CHATTANOOGA,yes,5.0,870779.0
5,5202,Blount Memorial Hospital,440011.0,37804.0,0,,General Medical and Surgical,895829954.0,36372337.0,69202606.0,199774182.0,16830365.0,192170207.0,18502258.0,35332623.0,105574943.0,15519516.0,186816742.0,304.0,5005.0,53154.0,43710.0,369328.0,0.09416036422470557,0.11835008447775419,2016,public,9663.0,0.0,0.0,378016718.0,516083180.0,379746776.0,Maryville,,yes,5.0,1067758.0
6,5402,Peninsula Hospital,440173.0,37777.0,1,Covenant Health,Psychiatric,60494193.0,22694540.0,9567444.0,33821275.0,842776.0,22741499.0,312163.0,1154939.0,32261984.0,11610035.0,34857197.0,155.0,17711.0,30606.0,39448.0,79576.0,0.5786773835195713,0.4957273549814014,2016,non_profit,383.0,383.0,24.6,39112520.0,21381673.0,39112520.0,Louisville,Knoxville,no,,
7,6223,Tennova HealthCare - Cleveland,440185.0,37311.0,1,Community Health Systems,General Medical and Surgical,1152291462.0,65657526.0,118384359.0,168368219.0,22276141.0,160479412.0,2326632.0,24602773.0,184041885.0,19031844.0,152698006.0,251.0,5289.0,36180.0,19490.0,86105.0,0.14618573797678275,0.2263515475291795,2016,for_profit,8103.0,8103.0,0.1,530852871.0,618738876.0,533552585.0,Cleveland,Franklin,yes,5.0,6306950.0
8,6233,Tennova HealthCare - Cleveland Westside,440185.0,37312.0,1,Community Health Systems,General Medical and Surgical,48490943.0,4116029.0,4311453.0,7151419.0,44145.0,6814477.0,98194.0,142339.0,8427482.0,869970.0,7012892.0,100.0,1192.0,3204.0,1687.0,10558.0,0.37203495630461925,0.1597840500094715,2016,for_profit,37.0,37.0,0.1,11112450.0,37378250.0,11112450.0,Cleveland,Franklin,yes,5.0,1217456.0
9,7242,Tennova Healthcare - LaFollette Medical Center,440033.0,37766.0,1,Community Health System,General Medical and Surgical,292257230.0,11108847.0,39511146.0,65362752.0,6323664.0,62622962.0,125845.0,6449509.0,50619993.0,8493640.0,56128295.0,66.0,1620.0,14048.0,12863.0,53993.0,0.11531890660592255,0.23823458596484728,2016,for_profit,0.0,0.0,0.16,87388512.0,204868718.0,87388512.0,LaFollette,Franklin,yes,5.0,2141008.0
